Case_ID;Dataset_ID;Initial_Temp;Cooling_Rate;Total_Evals;Expected_Final_Temp;Final_Temp;Evaluator;Fitness;Alpha;CV_Folds;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Wall_Time_Avg(s);SA_CPU_Time_Avg(s);SA_NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
54;17;1;0.9999;10000;0.36789784;0.36789784;knn;error;0.5;5;94.7;90.4;92.89;1.63;186.484;177.173;10000.0;92.98;16;13.7
43;52;0.001;0.999;10000;5e-08;5e-08;svm;error;0.5;5;97.2;90.1;93.66;2.68;259.864;246.872;10000.0;91.55;15;14.3
43;52;0.001;0.999;10000;5e-08;5e-08;knn;error;0.5;5;95.8;78.9;86.62;4.66;176.867;167.417;10000.0;87.32;7;15.2
44;52;0.001;0.9995;10000;6.73e-06;6.73e-06;svm;error;0.5;5;98.6;90.1;94.37;2.97;274.214;254.633;10000.0;91.55;13;14.6
44;52;0.001;0.9995;10000;6.73e-06;6.73e-06;knn;error;0.5;5;95.8;78.9;86.06;4.9;188.961;174.334;10000.0;81.69;8;15.1
45;52;0.001;0.9999;10000;0.0003679;0.0003679;svm;error;0.5;5;95.8;90.1;93.8;1.9;276.678;258.055;10000.0;90.14;15;15.0
45;52;0.001;0.9999;10000;0.0003679;0.0003679;knn;error;0.5;5;95.8;78.9;86.34;4.74;193.718;175.178;10000.0;85.92;7;13.3
46;52;0.01;0.999;10000;4.5e-07;4.5e-07;svm;error;0.5;5;98.6;88.7;94.93;3.2;310.628;252.767;10000.0;92.96;15;14.1
46;52;0.01;0.999;10000;4.5e-07;4.5e-07;knn;error;0.5;5;94.4;83.1;89.01;3.56;211.963;166.644;10000.0;83.1;8;9.4
47;52;0.01;0.9995;10000;6.733e-05;6.733e-05;svm;error;0.5;5;97.2;88.7;94.08;2.95;307.967;251.805;10000.0;91.55;15;14.8
47;52;0.01;0.9995;10000;6.733e-05;6.733e-05;knn;error;0.5;5;94.4;80.3;88.73;4.2;202.994;166.72;10000.0;94.37;6;8.9
48;52;0.01;0.9999;10000;0.00367898;0.00367898;svm;error;0.5;5;98.6;91.5;94.65;2.55;306.879;255.322;10000.0;91.55;19;15.1
48;52;0.01;0.9999;10000;0.00367898;0.00367898;knn;error;0.5;5;94.4;85.9;89.44;2.84;185.61;169.148;10000.0;85.92;7;9.2
49;52;0.1;0.999;10000;4.52e-06;4.52e-06;svm;error;0.5;5;97.2;88.7;94.08;3.31;266.041;252.928;10000.0;88.73;15;15.2
49;52;0.1;0.999;10000;4.52e-06;4.52e-06;knn;error;0.5;5;91.5;85.9;89.01;1.85;177.692;168.719;10000.0;87.32;13;9.2
50;52;0.1;0.9995;10000;0.00067329;0.00067329;svm;error;0.5;5;97.2;90.1;94.23;1.93;269.685;255.736;10000.0;94.37;14;16.1
50;52;0.1;0.9995;10000;0.00067329;0.00067329;knn;error;0.5;5;94.4;85.9;89.44;2.51;177.984;168.839;10000.0;90.14;7;8.9
51;52;0.1;0.9999;10000;0.03678978;0.03678978;svm;error;0.5;5;100.0;90.1;95.07;3.2;269.683;256.328;10000.0;92.96;11;16.9
51;52;0.1;0.9999;10000;0.03678978;0.03678978;knn;error;0.5;5;90.1;83.1;86.62;2.76;175.987;167.616;10000.0;90.14;16;13.5
52;52;1;0.999;10000;4.522e-05;4.522e-05;svm;error;0.5;5;98.6;90.1;94.93;2.5;267.133;254.798;10000.0;94.37;19;16.6
